,acidification,climate change,ecotoxicity
acrylic,-12.689198127860472,-202.43567171947961,1973306.1235174742
cotton,-734.9114797317063,-9007.26947215309,-5213895.802719294
polyamide/nylon,485.9643791546765,-10778.859419547442,-15402.1702797186
polyester,-468.3265325990699,-58862.625292339544,-545257.6740107517
silk,272.32129824953074,1050.5863078425505,-41.46312093899883
viscose,-9.930975932156315,-491.0115189523651,-5433.827846636758
wool,-1257.186936190725,-78941.6064640665,-497499.3369303221
