,acidification,climate change,ecotoxicity
acrylic,-9.108668924660858,-145.31410837948715,1416495.509432228
cotton,-527.8847220699151,-6469.8947734516405,-3745125.790845887
polyamide/nylon,349.08641416960836,-7742.8584172225865,-11063.955763032458
polyester,-336.63185626838634,-42310.29727755224,-391929.7544972629
silk,195.47822324117382,754.1339812150485,-29.76314105104389
viscose,-7.128434105054284,-352.44705867379474,-3900.3904543359467
wool,-902.4342656585666,-56665.8852463289,-357115.1082347102
